"Date","Lifetime.Total.Likes","Daily.New.Likes","Daily.Unlikes","Daily.Page.Engaged.Users","Weekly.Page.Engaged.Users","X28.Days.Page.Engaged.Users","Daily.Total.Reach","Weekly.Total.Reach","X28.Days.Total.Reach","Daily.Organic.Reach","Weekly.Organic.Reach","X28.Days.Organic.Reach","Daily.Paid.Reach","Weekly.Paid.Reach","X28.Days.Paid.Reach","Daily.Total.Impressions","Weekly.Total.Impressions","X28.Days.Total.Impressions","Daily.Organic.impressions","Weekly.Organic.impressions","X28.Days.Organic.impressions","Daily.Paid.Impressions","Weekly.Paid.Impressions","X28.Days.Paid.Impressions","Daily.Logged.in.Page.Views","Weekly.Logged.in.Page.Views","Daily.Logged.in.Page.Views.1","Weekly.Logged.in.Page.Views.1","Daily.Reach.of.page.posts","Weekly.Reach.of.page.posts","X28.Days.Reach.of.page.posts","Daily.Organic.Reach.of.Page.posts","Weekly.Organic.Reach.of.Page.posts","X28.Days.Organic.Reach.of.Page.posts","Daily.Paid.Reach.of.Page.posts","Weekly.Paid.Reach.of.Page.posts","X28.Days.Paid.Reach.of.Page.posts","Daily.Total.Impressions.of.your.posts","Weekly.Total.Impressions.of.your.posts","X28.Days.Total.Impressions.of.your.posts","Daily.Organic.impressions.of.your.posts","Weekly.Organic.impressions.of.your.posts","X28.Days.Organic.impressions.of.your.posts","Daily.Paid.impressions.of.your.posts","Weekly.Paid.impressions.of.your.posts","X28.Days.Paid.impressions.of.your.posts","Daily.Total.Consumers","Weekly.Total.Consumers","X28.Days.Total.Consumers","Daily.Page.consumptions","Weekly.Page.consumptions","X28.Days.Page.consumptions","Daily.Negative.feedback","Weekly.Negative.feedback","X28.Days.Negative.feedback","Daily.Negative.Feedback.from.Users","Weekly.Negative.Feedback.from.Users","X28.Days.Negative.Feedback.from.Users","Daily.Total.check.ins","Weekly.Total.check.ins","X28.Days.Total.check.ins","Daily.Total.check.ins.1","Weekly.Total.check.ins.1","X28.Days.Total.check.ins.1","Daily.Total.check.ins.using.mobile.devices","Weekly.Total.check.ins.using.mobile.devices","X28.Days.Total.check.ins.using.mobile.devices","Daily.Total.check.ins.using.mobile.devices.1","Weekly.Total.check.ins.using.mobile.devices.1","X28.Days.Total.check.ins.using.mobile.devices.1","Daily.Daily.count.of.fans.online","Daily.Total.Video.Views","Weekly.Total.Video.Views","X28.Days.Total.Video.Views","Daily.Total.organic.video.views","Weekly.Total.organic.video.views","X28.Days.Total.organic.video.views","Daily.Total.promoted.video.views","Weekly.Total.promoted.video.views","X28.Days.Total.promoted.video.views","Daily.Total.autoplayed.video.views","Weekly.Total.autoplayed.video.views","X28.Days.Total.autoplayed.video.views","Daily.Total.video.views.after.clicking","Weekly.Total.video.views.after.clicking","X28.Days.Total.video.views.after.clicking","Daily.Total.number.of.time.a.video.has.seen.again","Weekly.Total.number.of.time.a.video.has.seen.again","X28.Days.Total.number.of.time.a.video.has.seen.again","Daily.Total.Unique.Video.Views","Weekly.Total.Unique.Video.Views","X28.Days.Total.Unique.Video.Views","Daily.Total.30.Second.Views","Weekly.Total.30.Second.Views","X28.Days.Total.30.Second.Views","Daily.Total.organic.video.views.for.30s.or.to.the.end","Weekly.Total.organic.video.views.for.30s.or.to.the.end","X28.Days.Total.organic.video.views.for.30s.or.to.the.end","Daily.Paid.30.Second.Views","Weekly.Paid.30.Second.Views","X28.Days.Paid.30.Second.Views","Daily.Auto.Played.30.Second.Views","Weekly.Auto.Played.30.Second.Views","X28.Days.Auto.Played.30.Second.Views","Daily.Video.views.for.30s.or.to.the.end.after.clicking","Weekly.Video.views.for.30s.or.to.the.end.after.clicking","X28.Days.Video.views.for.30s.or.to.the.end.after.clicking","Daily.Number.of.time.a.video.has.seen.again.for.30s.or.to.the.end","Weekly.Number.of.time.a.video.has.seen.again.for.30s.or.to.the.end","X28.Days.Number.of.time.a.video.has.seen.again.for.30s.or.to.the.end","Daily.Total.Unique.30.Second.Views","Weekly.Total.Unique.30.Second.Views","X28.Days.Total.Unique.30.Second.Views","Daily.People.Talking.About.This","Weekly.People.Talking.About.This","X28.Days.People.Talking.About.This","page_get_directions_clicks_logged_in_count.day","page_get_directions_clicks_logged_in_count.week","page_get_directions_clicks_logged_in_unique.day","page_get_directions_clicks_logged_in_unique.week","page_call_phone_clicks_logged_in_count.day","page_call_phone_clicks_logged_in_count.week","page_call_phone_clicks_logged_in_unique.day","page_call_phone_clicks_logged_in_unique.week","page_website_clicks_logged_in_count.day","page_website_clicks_logged_in_count.week","page_website_clicks_logged_in_unique.day","page_website_clicks_logged_in_unique.week","page_cta_clicks_logged_in_total.day","page_cta_clicks_logged_in_total.week","page_cta_clicks_logged_in_unique.day","page_cta_clicks_logged_in_unique.week","mes","anio"
2016-01-01,1574430,159,238,3555,23158,123245,60013,1101919,4875341,55553,169448,293162,4460,932471,4582179,166365,2116005,15123928,161896,1021442,3733657,4469,1094563,11390271,92,1092,56,522,59429,1094412,4847881,54969,161941,265702,4460,932471,4582179,164462,2093667,15019184,159993,999104,3628913,4469,1094563,11390271,1695,18078,111286,3669,37724,202825,15,74,345,15,87,397,0,0,0,0,0,0,0,0,0,0,0,0,1308954,158,NA,NA,158,0,0,0,NA,NA,66,NA,NA,92,0,0,78,0,0,80,NA,NA,94,NA,NA,94,0,0,0,NA,NA,26,NA,NA,68,0,0,47,0,0,47,NA,NA,2130,7351,19810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2016
2016-01-02,1574364,170,229,2800,22809,120831,42658,1068344,4803642,42652,166094,291064,6,902250,4512578,127898,2049619,14745362,127892,992768,3706039,6,1056851,11039323,92,1040,62,516,42413,1061076,4776347,42407,158826,263769,6,902250,4512578,126288,2027652,14640845,126282,970801,3601522,6,1056851,11039323,1402,17642,108750,2554,36218,197499,8,71,328,8,83,378,0,0,0,0,0,0,0,0,0,0,0,0,1323962,207,NA,NA,207,0,0,0,NA,NA,81,NA,NA,126,0,0,108,0,0,99,NA,NA,98,NA,NA,98,0,0,0,NA,NA,19,NA,NA,79,0,0,55,0,0,43,NA,NA,1707,7445,19776,0,0,0,0,0,0,0,0,0,3,0,3,4,53,4,51,1,2016
2016-01-03,1574317,191,235,2573,21957,118280,44642,1010698,4676993,44642,168341,292721,0,842357,4384272,142494,1973739,14346593,142494,1005588,3738228,0,968151,10608365,110,1054,70,514,44252,1003596,4650033,44252,161239,265761,0,842357,4384272,141083,1952258,14242464,141083,984107,3634099,0,968151,10608365,1193,16704,106088,4686,37512,197243,13,71,328,15,82,377,0,0,0,0,0,0,0,0,0,0,0,0,1326042,142,NA,NA,142,0,0,0,NA,NA,90,NA,NA,52,0,0,59,0,0,83,NA,NA,64,NA,NA,64,0,0,0,NA,NA,30,NA,NA,34,0,0,21,0,0,43,NA,NA,1606,7524,19846,0,0,0,0,0,0,0,0,0,2,0,2,9,53,8,49,1,2016
2016-01-04,1574307,202,215,3284,21185,112918,44403,954382,4523708,44403,166492,291354,0,787890,4232354,128400,1872314,13578173,128400,988258,3742387,0,884056,9835786,163,1008,107,507,43907,950354,4496910,43907,162464,264556,0,787890,4232354,126640,1856430,13481196,126640,972374,3645410,0,884056,9835786,1875,15854,100729,4678,36859,190852,9,68,313,10,79,359,0,0,0,0,0,0,0,0,0,0,0,0,1336462,174,NA,NA,174,0,0,0,NA,NA,79,NA,NA,95,0,0,71,0,0,103,NA,NA,87,NA,NA,87,0,0,0,NA,NA,27,NA,NA,60,0,0,36,0,0,51,NA,NA,1777,7639,19850,0,0,0,0,0,0,0,0,3,5,3,5,7,49,7,46,1,2016
2016-01-05,1574297,185,195,6117,21093,108913,76020,815086,4410164,76020,184237,294856,0,630849,4115308,193446,1709429,13010392,193446,1034733,3781640,0,674696,9228752,226,1032,118,504,75677,811537,4387127,75677,180688,271819,0,630849,4115308,191546,1694842,12922148,191546,1020146,3693396,0,674696,9228752,4219,15777,96847,10132,39482,189682,9,66,308,9,78,358,0,0,0,0,0,0,0,0,0,0,0,0,1337844,5392,NA,NA,5392,0,0,0,NA,NA,4522,NA,NA,870,0,0,116,0,0,5276,NA,NA,2565,NA,NA,2565,0,0,0,NA,NA,1917,NA,NA,648,0,0,118,0,0,2447,NA,NA,2542,7971,19914,0,0,0,0,0,0,0,0,0,5,0,5,6,42,4,37,1,2016
2016-01-06,1574201,191,234,4775,19550,106849,73083,584306,4364498,73083,198752,299815,0,385554,4064683,216057,1495892,12788746,216057,1105378,3861781,0,390514,8926965,239,1073,116,514,72402,580588,4341145,72402,195034,276462,0,385554,4064683,213199,1481666,12700248,213199,1091152,3773283,0,390514,8926965,2993,14160,94936,7488,40872,191650,16,71,308,27,91,369,0,0,0,0,0,0,0,0,0,0,0,0,1342380,1137,NA,NA,1137,0,0,0,NA,NA,921,NA,NA,216,0,0,114,0,0,1023,NA,NA,522,NA,NA,522,0,0,0,NA,NA,366,NA,NA,156,0,0,41,0,0,481,NA,NA,2398,8185,19941,0,0,0,0,0,0,0,0,3,8,3,8,10,46,10,40,1,2016
2016-01-07,1574192,198,252,2726,16341,107504,48323,203850,4354580,48323,199424,294553,0,4426,4060027,142437,1120662,12790360,142437,1116235,3901671,0,4427,8888689,228,1150,124,522,47946,200355,4335811,47946,195929,275784,0,4426,4060027,140686,1107332,12708293,140686,1102905,3819604,0,4427,8888689,1316,11305,95420,5588,40893,197408,8,73,316,10,94,379,0,0,0,0,0,0,0,0,0,0,0,0,1342408,154,NA,NA,154,0,0,0,NA,NA,108,NA,NA,46,0,0,48,0,0,106,NA,NA,70,NA,NA,70,0,0,0,NA,NA,37,NA,NA,33,0,0,21,0,0,49,NA,NA,1695,7730,19936,0,0,0,0,0,0,0,0,0,7,0,7,6,46,6,40,1,2016
2016-01-08,1574168,199,207,3854,16523,107360,54686,196028,4313539,54686,196022,295213,0,6,4018326,143861,1098428,12667845,143861,1098422,3931834,0,6,8736011,161,1219,104,549,54138,192683,4294605,54138,192677,276279,0,6,4018326,142399,1085542,12585864,142399,1085536,3849853,0,6,8736011,1887,11338,95193,5041,42169,198016,10,70,319,10,89,379,0,0,0,0,0,0,0,0,0,0,0,0,1342904,80,NA,NA,80,0,0,0,NA,NA,53,NA,NA,27,0,0,12,0,0,68,NA,NA,30,NA,NA,30,0,0,0,NA,NA,14,NA,NA,16,0,0,3,0,0,27,NA,NA,2405,7960,20222,0,0,0,0,0,0,0,0,0,6,0,6,1,43,1,39,1,2016
2016-01-09,1574172,185,194,1995,16108,105453,34786,192477,4258069,34786,192477,295138,0,0,3962931,104976,1075329,12413205,104976,1075329,3906923,0,0,8506282,92,1219,64,551,34305,189175,4238327,34305,189175,275396,0,0,3962931,103628,1062685,12331546,103628,1062685,3825264,0,0,8506282,878,11016,93369,2033,41637,195176,10,74,314,11,92,374,0,0,0,0,0,0,0,0,0,0,0,0,1332638,91,NA,NA,91,0,0,0,NA,NA,43,NA,NA,48,0,0,44,0,0,47,NA,NA,43,NA,NA,43,0,0,0,NA,NA,16,NA,NA,27,0,0,21,0,0,22,NA,NA,1331,7780,20124,0,0,0,0,0,0,0,0,1,7,1,7,5,44,5,40,1,2016
2016-01-10,1574117,168,216,4032,17166,104351,66953,203861,4221872,66953,203861,298733,0,0,3923139,189080,1122016,12305687,189080,1122016,3979976,0,0,8325711,130,1239,79,549,66797,200548,4202564,66797,200548,279425,0,0,3923139,187396,1109099,12224502,187396,1109099,3898791,0,0,8325711,2518,11978,92147,4536,41323,194334,9,71,315,12,89,379,0,0,0,0,0,0,0,0,0,0,0,0,1329968,96,NA,NA,96,0,0,0,NA,NA,63,NA,NA,33,0,0,31,0,0,65,NA,NA,38,NA,NA,38,0,0,0,NA,NA,19,NA,NA,19,0,0,10,0,0,28,NA,NA,2009,8003,20370,0,0,0,0,0,0,0,0,1,8,1,8,3,38,3,35,1,2016
